"x" "y"
"1" 1 8.48406409710135
"2" 2 15.9381068372194
"3" 3 20.461551001858
"4" 4 13.4794728362594
"5" 5 17.8417592415011
"6" 6 13.2225623675067
"7" 7 30.6456160217677
"8" 8 18.7623478975987
"9" 9 24.0267879844594
"10" 10 26.4693309829192
"11" 11 24.9162527537483
"12" 12 35.9533801548354
"13" 13 36.3139548376134
"14" 14 35.5393370387492
"15" 15 41.5783521122291
"16" 16 50.0967790679024
"17" 17 45.804652499086
"18" 18 42.1510559016738
"19" 19 40.6091048964452
"20" 20 47.9630046470105
"21" 21 37.2950134687992
"22" 22 50.5145847259218
"23" 23 56.5997246998604
"24" 24 63.3977728173535
"25" 25 64.9817972225821
"26" 26 53.9816117120702
"27" 27 64.530859437232
"28" 28 64.9870632733462
"29" 29 74.58772276644
"30" 30 63.3818343979428
"31" 31 69.3948370513574
"32" 32 86.5565968803427
"33" 33 71.020063881168
"34" 34 74.2787739404306
"35" 35 84.3430201976149
"36" 36 78.1093274613523
"37" 37 83.4693632464172
"38" 38 92.7808567163392
"39" 39 84.650522349269
"40" 40 88.6308164194037
"41" 41 91.4883585706815
"42" 42 103.647986312014
"43" 43 92.8507491414724
"44" 44 90.6929444494778
"45" 45 96.1307981412321
"46" 46 105.507990402299
"47" 47 108.789225637574
"48" 48 107.089183990948
"49" 49 116.6987344312
"50" 50 115.235662676158
